# ----------------------------------------
www.victusspiritus.com/
Top Content
"December 9, 2009","December 9, 2010"
# ----------------------------------------

# ----------------------------------------
# Graph
# ----------------------------------------
Month,Pageviews
"Jan 1, 2010 - Jan 31, 2010","5,264"
"Feb 1, 2010 - Feb 28, 2010","7,696"
"Mar 1, 2010 - Mar 31, 2010","4,763"
"Apr 1, 2010 - Apr 30, 2010","7,379"
"May 1, 2010 - May 31, 2010","7,336"
"Jun 1, 2010 - Jun 30, 2010","9,013"
"Jul 1, 2010 - Jul 31, 2010","5,245"
"Aug 1, 2010 - Aug 31, 2010","7,180"
"Sep 1, 2010 - Sep 30, 2010","13,394"
"Oct 1, 2010 - Oct 31, 2010","19,978"
"Nov 1, 2010 - Nov 30, 2010","12,673"

# ----------------------------------------
# Table
# ----------------------------------------
# Pivot by: Source

Page,Total:Avg. Time on Page,Total:Unique Pageviews
/2010/04/28/netflix-designs-for-a-darwinian-corporate-culture/,7494.375,56
/?s=Hunch.com,5154.5,10
/outgoing/www.readwriteweb.com/archives/is_a_perfect_storm_forming_for_distributed_social_networking.php,2690.0,1
/2010/08/31/when-eating-and-exercise-are-out-of-balance-productivity-plummets/,2120.4102564102564,600
/2010/10/02/exploring-speculative-execution-and-evaluation/,2114.214285714286,91
/outgoing/cdixon.org/2010/08/31/converts-versus-equity-deals/,1845.0,4
/2010/01/29/the-ideal-computer-converges-on-invisible/,1774.1363636363637,58
/2009/11/09/media-by-you-working-for-you/no-pool-this-beautiful-should-be-empty-at-a-time-like-this/,1772.0,1
/2010/06/25/money/?dsq=58685490,1729.0,2
/?p=3717,1721.0,1
/outgoing/stackoverflow.com/,1653.0,2
/?p=4848&preview=true,1521.0,1
/2010/08/06/all-things-end/,1516.5,47
/outgoing/imagebrowser.heroku.com/site,1483.0,1
/outgoing/disqus.com/profile/info/,1338.0,1
/outgoing/leighdrogen.com/,1296.0,2
/outgoing/www.ruby-lang.org/en/documentation/quickstart/,1272.0,2
/?p=3346&preview=true,1246.0,1
/2010/05/04/even-geniuses-run-off-of-cliffs/?success=,1234.0,1
/2010/10/23/differences-in-natural-and-technological-evolution/comment-page-1/,1214.0,1
/2010/01/13/think-bigger-short-sighted-thinking-has-left-those-who-inherit-our-imagination-with-a-grim-future/,1211.111111111111,64
/outgoing/thehackensack.blogspot.com/2009/11/mandelbrot-set-animated.html,1194.0,1
/2010/03/21/the-end-of-the-rainbow-for-social-media-spectacle-or-solution/?success=,1166.0,1
/outgoing/www.hunch.com,1134.0,18
/outgoing/stackoverflow.com/questions/1337137/whats-the-difference-between-duby-and-juby-and-why-would-i-need-either-of-them/1351895#1351895,1122.0,1
/2010/04/13/the-founders-dilemma-sweet-distractions/,1066.655172413793,545
/outgoing/ge.ecomagination.com/smartgrid/#/augmented_reality,1035.0,2
/?p=3438&preview=true,1034.0,1
/2010/02/01/your-startup-needs-help-but-when-how-do-you-recruit-your-first-hire/,984.5,16
/2010/06/23/scale-invariant-patterns/,960.2,48
/?p=5251&preview=true,951.0,1
/tag/communication/,930.0,32
/?s=Flow+state&submit=Search,912.0,1
/?p=3127&preview=true,898.0,2
/outgoing/en.m.wikipedia.org/wiki/Ellipsoid?wasRedirected=true,893.0,2
/2009/12/28/failx3-win/tylergillies.mp,890.0,1
/outgoing/www.theshulers.com/whitepapers/internet_whitepaper/index.html,881.0,1
/2009/06/23/notional-framework-for-monetization-web2010/,866.9245283018868,122
/2010/02/18/pick-3/,856.1666666666666,59
/?p=2756&preview=true,854.0,2
/2010/11/14/permission-and-open-subscription-protocols/,853.0,13
/outgoing/disqus.com/comments,846.0,5
/2010/11/28/im-sparticus-quasi-resilient-startup-interfaces-in-the-face-of-drastic-internal-reorganization/,840.5,15
/2010/02/10/sleep-dep-not-all-bad-for-creatives/,836.25,31
/?p=3336&preview=true,834.0,1
/2010/06/06/too-big-to-fail-in-english/?success=,830.0,1
/wp-stats,830.0,1
/2010/09/12/nifty-infographics-wordpress-ubiquity-google-acquisitions/,826.8571428571429,32
/outgoing/www.cloudave.com/link/raising-angel-money,809.5,3
/?wptheme=iBlog2,809.0,1
/tag/cognitive-bias/,803.0,1
/2010/09/04/first-impressions-of-sitting-a-web-app-on-couchdb/,781.0236842105263,2612
/2009/05/29/my-first-ebook/,775.2068965517242,111
/2010/02/13/design-frameworks-that-function-without-you-in-the-loop/,759.2142857142857,79
/?p=2662&preview=true,758.0,1
/2010/11/12/rocking-chair-portable-realtime-feeds-ala-couchdb/,722.4814814814815,185
/2009/08/17/reach-out-across-the-globe-to-build-a-superteam/,698.0,4
/2009/12/16/variable-freedom-in-a-contracting-economy/,693.0,14
/2010/03/28/new-journalism-part-curation-part-content-creation/,656.1325301204819,425
/?p=5047&preview=true,652.75,1
/outgoing/blog.redfin.com/blog/2010/10/one_in_five_facebook_employees_has_no_imagination_whatsoever.html,640.0,6
/outgoing/couchapp.org/page/index,637.5,6
/2010/08/24/early-stage-investors-prepare-to-write-a-fking-check/,635.86,417
/outgoing/code.alexreisner.com/articles/anatomy-of-a-ruby-web-application.html,622.5,3
/outgoing/www.google.com/buzz/louisgray/Qpm8pbqmePr/10-Suggestions-for-Redesigning-the-Google-Profile,621.0,4
/outgoing/www.scripting.com/stories/2009/07/10/googlesPubsubhubbub.html,620.0,1
/2010/01/28/we-dont-need-no-stinkin-bubbles-intrinsic-traded-value/,593.2,70
/2010/11/07/bare-canvas-vs-complex-frameworks-a-case-review-of-couchapps/,581.9433962264151,285
/outgoing/wave.google.com/wave/#restored:wave:googlewave.com!w+Isniw_SoA,573.0,5
/2010/05/25/global-communication-for-free/,567.625,17
/outgoing/wave.google.com/wave/#restored:wave:googlewave.com!w%2B9wEkpHp-B,562.0,9
/?p=4581&preview=true,552.6666666666666,2
/wp-content/themes/jarrah/images/innerbg-trns,551.0,1
/2010/02/04/illusive-delusions-of-grandeur-or-a-peak-at-who-we-are/,550.5,12
/2010/11/04/i-dont-miss-cable-tv/,537.0816326530612,1064
/?p=2583&preview=true,535.0,1
/outgoing/status.net/,534.0,2
/tag/webtech/page/2/,534.0,1
/2010/02/27/social-web-kingdoms-collapse-as-fast-as-they-expand-a-sign-that-rests-days-are-numbered/,527.9642857142857,182
/2010/06/06/network-economy-rising-tides-and-positive-vibes/,526.9230769230769,40
/2010/11/22/the-wonder-of-traveling-is-awesome-the-comfort-of-home-is-essential/,526.0,37
/?p=5890&preview=true,525.0,1
/2009/06/17/eradicate-excuses-begin-meaningful-work-now/,520.0,5
/wp-admin/%3Ca%20href=,520.0,1
/2009/09/15/build-ubiquitous-web-presence/ rel=,513.0,1
/outgoing/en.m.wikipedia.org/wiki/Quasar?wasRedirected=true,513.0,1
/2010/01/30/a-vision-of-whats-to-come/?success=,508.0,1
/outgoing/www.ted.com/index.php/talks/malcolm_gladwell_on_spaghetti_sauce.html,508.0,1
/2009/12/21/attention-jiu-jitsu/,505.9310344827586,882
/2010/11/13/data-driven-startups-by-david-cancel/,503.9877300613497,2040
/2010/10/27/the-illusion-of-patience/,500.14285714285717,38
/outgoing/www.sinatrarb.com/intro.html,497.75,3
/2010/03/03/centralized-versus-distributed-web/,497.0,64
/?s=netflix,496.0,1
/2010/11/05/the-roulette-wheel-of-organic-search-traffic/,486.0,32
/2010/09/09/learning-from-competition/,485.8421052631579,23
/2010/01/15/how-you-feel-about-your-work-is-just-as-important-as-how-much-you-are-paid/,483.55555555555554,97
/2010/09/30/end-information-addiction-digital-baggage/,483.18918918918916,195
/?preview=1&template=aqua-blue&stylesheet=aqua-blue,482.0,1
/2010/10/05/distributed-social-app-with-couchdb-brilliant/,479.84,5794
/2010/12/01/everybody-falls-get-up/,476.3333333333333,28
/?p=6037&preview=true,476.0,1
/outgoing/twitter.com/victusfate,470.0,6
/2010/08/09/what-will-drive-the-us-economy-10-years-from-now/,467.90909090909093,165
